manager,NOTES,Sector,BCD_Project_ID__c,Name,Project_Status__c,Account_Name__c,Owner01CompanyName,Tenant01CompanyName,Project_State__c,PostalCode,ownerid (by ZIP),Owner Email,Construction_Amount_M__c,Construction_End_Date__c,Project_Stage__c,Construction_Type__c,Clinical_Specialty__c,Construction_Start_Date__c,Project_Details__c,Facility_Type__c
bcharron@cmecorp.com,,Public,3375550,Onondaga Community College-School of Health Expansion,Qualificiation,,State University of New York (SUNY),,NY,13215,0051I000001vmWCQAY,suvanni@cmecorp.com,$32 ,10/1/2026,Construction,"Expansion/Expansion, Renovation",Primary Care,3/1/2025,Plans call for renovations and the reconfiguration of the health school and Ferrante Hall.,Medical Office
bcharron@cmecorp.com,,Public,3418680,Forensics Laboratory Gillem Enclave,Qualificiation,0011I00000mvhPEQAY,US Army Corps of Engineers,,GA,30297,0051I000001xRRUQA2,tcaldwell@cmecorp.com,$62.50 ,7/1/2027,Starts in 1-3 months,New,"Medical Research, Clinical Labs, Service Areas",9/1/2026,"Plans call for the construction of a forensic laboratory. Primary facilities include administration areas, laboratory space, facility support area, covered hardstand (mobile laboratory area), organizational vehicle parking, Intrusion Detection System (IDS) installation, mass notification system, and Utility Monitoring and Control System (UMCS) connections.",Medical Office
bcharron@cmecorp.com,,Public,3202652,Williamson County Jail Replacement,Qualificiation,,Williamson County (TN),Williamson County (TN),TN,37064,0058W00000BA7JvQAL,jjwilliams@cmecorp.com,$105.90 ,10/1/2027,Groundbreaking,New,"Primary Care, Psychiatric Care/Behavioral Health",8/1/2026,"Plans call for the demolition of the existing Williamson County Jail and the construction of a replacement facility on the same property. Plans include 761 total beds, including a portion of beds reserved for mental health and medical patients.",Medical Office
bhammond@cmecorp.com,,Private,3293588,Catholic Medical Center Central Energy Plant,Qualificiation,0011I00000IkLaGQAV,,HCA Healthcare (Hospital Corporation of America),NH,3102,005Qq000006bFizIAE,bhammat@cmecorp.com,$43 ,1/1/2027,Construction,New,Service Areas,4/1/2026,Plans call for the construction of a new central energy plant for Catholic Medical Center.,Acute Care Hospital
bhammond@cmecorp.com,,Private,3786840,Ascension Saint Thomas Clarksville Hospital,Qualificiation,0011I00000IkKtcQAF,Ascension Health,Ascension Health,TN,37043,0058W00000BA7JvQAL,jjwilliams@cmecorp.com,$148.50 ,7/1/2028,Groundbreaking,New,"Oncology, Emergency Care, Primary Care, Critical Care, Imaging/Radiology, Cardiology, Obstetrics/Women's Health, Surgical, Cath Labs, Orthopedic",8/1/2026,"Plans call for the construction of a 44-bed acute care hospital that will provide diagnostic and therapeutic cardiac catheterization, MRI, emergency, oncology, outpatient surgery, women's health, orthopedics, and Level II neonatal intensive care unit (NICU) services. It will have the ability to expand into 132 beds in the future.",Acute Care Hospital
bhammond@cmecorp.com,,Private,3449110,Sewart's Landing Mixed-Use Development,Qualificiation,,,,TN,37167,0058W00000BA7JvQAL,jjwilliams@cmecorp.com,$168.42 ,10/1/2029,Construction,New,Primary Care,4/1/2025,"Plans call for the construction of 250,000 square feet of retail, two boutique hotels totaling 240 rooms, two medical office buildings, and 268 apartment units on 44 acres.",Medical Office
bhammond@cmecorp.com,,Private,3919993,Johnson City Medical Center ER Expansion,Qualificiation,0011I00000IkKwzQAF,Ballad Health,,TN,37604,0058W00000BA7JvQAL,jjwilliams@cmecorp.com,$72 ,10/1/2027,Starts in 1-3 months,Expansion/Expansion,"Emergency Care, Service Areas",11/1/2026,"Plans call for the construction of a 13,000-square-foot addition to the ER to increase the pediatric, adult, and trauma program capacity. Work will also include renovations to the waiting areas. Work will be done in three phases.",Acute Care Hospital
ebailey@cmecorp.com,,"Private, Public",3920192,Albert B. Chandler Hospital Central Utility Plant,Qualificiation,0011I00000IkMwLQAV,University of Kentucky,,KY,40536,0058W00000EXyiHQAT,abazzani@cmecorp.com,$580 ,1/1/2029,Starts in 4-12 months,New,Service Areas,3/1/2027,"Plans call for the construction of a new central utility plant that will service the hospital providing steam and chilled water capacity, modernize existing utility systems, and 2400+ car parking garage.",Acute Care Hospital
ebailey@cmecorp.com,,Private,3031674,ARH Advanced Oncology & Ambulatory Center at Middlesboro ARH Hospital,Qualificiation,0011I00000IkKsaQAF,Appalachian Regional Healthcare,,KY,40965,0058W00000EXyiHQAT,abazzani@cmecorp.com,$54 ,10/1/2027,Early Construction,Expansion/Expansion,"Oncology, Imaging/Radiology, Cardiology, Obstetrics/Women's Health, Clinical Labs, Surgical, Orthopedic, Pharmacy",7/1/2026,"Plans call for the construction of a four-story, 51,000-square-foot, freestanding outpatient oncology and ambulatory facility for at Middlesboro ARH Hospital. The facility will have obstetrics and women's health, general surgery, orthopedics, urology, cardiology, pharmacy, imaging, laboratory, and oncology services.",Cancer Center
ebailey@cmecorp.com,,Private,3921297,Salyersville Nursing and Rehabilitation Center Replacement,Qualificiation,,Salyersville Nursing and Rehabilitation Center,,KY,41465,0058W00000EXyiHQAT,abazzani@cmecorp.com,$28 ,3/1/2028,Starts in 4-12 months,New,Rehabilitation/Physical Therapy,3/1/2027,Plans call for the construction of a replacement facility to an existing skilled nursing and rehabilitation center.,Long-term Care/Rehabilitation Hospital
ebailey@cmecorp.com,,Private,3224425,TruePointe Mixed-Use,Qualificiation,,,Advanced Drainage Systems,OH,43026,0051I000006pwXtQAI,mwebb@cmecorp.com,$200 ,10/1/2027,Construction,New,Orthopedic,7/1/2023,"Plans call for the construction of a mixed-use development. There will be more than 300,000 square feet of office space including a 20,000 orthopedic center, 42,000 square feet of retail space, which will be mostly restaurants, spread across fifteen buildings, 4,000 square feet of restaurant space including a 2,500 square-foot Drunch Eatery + Bar, 360 multifamily units, a 108-room, limited-service corporate four-story hotel, and two parking garages. The residential units will be divided into an approximately 209-unit, five-story building along with four walk-up buildings that will be three stories and have about 36 units each.","Specialty Clinic, Medical Office"
ebailey@cmecorp.com,,Private,3866159,Hims & Hers Health,Qualificiation,,,,OH,43054,0051I000006pwXtQAI,mwebb@cmecorp.com,$200 ,1/1/2027,Early Construction,New,"Clinical Labs, Service Areas, Pharmacy",7/1/2026,Plans call for the construction of a Hims & Hers Health operations facility focused on laboratory testing and pharmacy operations.,Medical Office
ebailey@cmecorp.com,,Private,3408268,Saint Mary's Hospital Modernization,Qualificiation,0011I00000IkLg3QAF,Hospital Sisters Health System,,IL,62521,0051I000001vmW1QAI,mmalec@cmecorp.com,$90 ,10/1/2027,Construction,Renovation,"Primary Care, Critical Care, Surgical, Service Areas, Pharmacy, Other",5/1/2024,"Plan calls for 105,776-square-feet of renovations to modernize the existing facility. Works include the modernization of the medical/surgical department and the reduction of beds from 88 to 30, the modernization of the ICU unit and reduction of beds from 14 to 6, the relocation of operating rooms and recovery stations, the reduction of PACU stations, the renovation of the medical office building and chapel, renovations to inpatient nursing and pharmacy areas, and the relocation of the helipad. The plan also includes the demolition of a seven-story building.","Acute Care Hospital, Medical Office"
ebailey@cmecorp.com,,Private,3243681,5401 Independence Avenue Mixed-Use Conversion,Qualificiation,,Arnold Development Group,,MO,64123,0051I000006pzg5QAA,jbrockman@cmecorp.com,$224.90 ,2/1/2029,Early Construction,"Renovation, Backfill",Primary Care,7/1/2026,"Plans call for the repurposing of a former self-storage building into a 12-story mixed-use development with 587 mixed-income apartments, a 30,000-square-foot daycare and after-school facility on the ground floor, 41,000 square feet of retail space, a 19,000-square-foot indoor food hall, 9,000-square-foot fitness center, 5,000-square-foot health clinic, farmer's market, and food truck plaza. and some parking will be structured.",Medical Office
ebailey@cmecorp.com,,Private,3786099,Farnam Health Center,Qualificiation,,Nebraska Medical Center,,NE,68131,0058W000009pasOQAQ,tlind@cmecorp.com,$99 ,9/1/2027,Construction,New,"Primary Care, Psychiatric Care/Behavioral Health, Service Areas, GI/Endoscopy, Other",2/1/2026,"Plans call for the construction of a four-story, 97,384-square-foot dermatology-focused medical office building. Other services offered will include internal medicine, outpatient GI care, and behavioral health. A pedestrian walkway connector to an existing adjacent parking garage will also be constructed.",Medical Office
emcnamara@cmecorp.com,,Private,3876768,TransMedics Group Headquarters Tenant Improvement,Qualificiation,,BioMed Realty Trust Inc.,TransMedics Group,MA,2145,0051I000006qVr5QAE,nbonitatibus@cmecorp.com,$25 ,1/1/2028,Construction,Renovation,Other,5/1/2026,"Plans call for the renovation of a 498,000-square-foot space within the Assembly Innovation Park building to accommodate TransMedics group. Future plans include the renovation of an adjacent building to accommodate the expansion.",Medical Office
